Name,Price (Intraday),Change,Market Cap,Volume in Currency,Circulating Supply
Vehicle Mining System USD,0.003498,-0.000067,0,"45,371",0
Equilibrium USD,0.00016,0.000004,0,"38,167",0
sETH2 USD,"1,872.45",-6.98,0,"79,307",0
Twelve Legions USD,0.000202,0,0,3,0
BlackPoker USD,0.00243,0,0,19,0
GucciPepe USD,0,0,0,16,0
MOETA COIN USD,0.00000007,0,0,8,0
Aavegotchi FUD USD,0.000501,-0.000008,0,321,0
Mops USD,0.00000008,0.00000001,0,"4,484",0
Musk Metaverse USD,0,0,0,59,0
VINCI USD,0.000033,-0.000001,0,"1,608",0
Sense4FIT USD,0.004534,-0.000053,0,"9,276",0
POLYSPORTS USD,0.001024,0.000059,0,208,0
Nothing Token USD,0.00000011,0,0,"19,586",0
Ghospers Game USD,0.001526,0.000049,0,22,0
InteractWith USD,0.003841,0.000102,0,66,0
UFO Coin USD,0.000025,-0.000002,0,"1,795",0
Ofero USD,0.010535,-0.00025,0,520,0
LIFEBIRD USD,0,0,0,47,0
PolygonFarm Finance USD,0.013061,0.000253,0,29,0
EXATECH PoAI Blockchain USD,0.000049,-0.000001,0,57,0
Bolt Coin USD,0.00000004,0,0,65,0
Hurrian Network USD,0.000012,0,0,"83,248",0
XSwap Protocol USD,0.000315,0.000001,0,"1,342",0
Hakuna Matata USD,0.00000002,0,0,71,0
Amasa USD,0.00649,-0.000401,0,80,0
FIA Protocol USD,0.000252,-0.000148,0,0,0
BergerDoge USD,0,0,0,784,0
FLEXMEME USD,0.00000031,-0.00000001,0,221,0
bZx Protocol USD,0.102896,-0.000017,0,3,0
CheeseSwap USD,0.00000041,0.00000001,0,19,0
Sonne Finance USD,0.139597,-0.005773,0,"113,473",0
Mei Flex USD,0.149994,-0.000025,0,"16,871",0
MetaBET USD,0.007424,0.000381,0,"4,116",0
KeK AI Token USD,0,0,0,0,0
Quantum USD,0.000001,0,0,0,0
WEYU USD,0.00008,-0.000009,0,45,0
Melecoin USD,0.005,-0.001281,0,"3,072",0
Choice Coin USD,0.000023,-0.000001,0,4,0
Celo Brazilian Real USD,0.205993,0.001034,0,"4,036",0
Pi Protocol USD,0.275663,0.013358,0,6,0
Kyouneko USD,0.00000079,0.00000004,0,0,0
Tomcat Inu USD,0,0,0,428,0
Coral Swap USD,0.021099,-0.00126,0,"12,921",0
Bitcurate USD,0.003681,-0.000006,0,8,0
Terra World Token USD,0.031804,0.000324,0,"42,535",0
Camp USD,0.000004,0,0,195,0
Monsta XRP USD,0.006012,0.000076,0,"1,061",0
Daily USD,0.001221,-0.000008,0,0,0
Lootex USD,0.0628,-0.004101,0,"127,753",0
NEMO USD,0.099196,-0.000275,0,29,0
Cosmic Odyssey USD,0.001659,-0.000013,0,"1,179",0
Lucky Block (V2) USD,0.000105,-0.000002,0,"7,004",0
Apu USD,0.000019,-0.000001,0,594,0
Yolllo USD,0.083253,-0.005197,0,96,0
Aleph Zero USD,0.924786,0.029533,0,1.716M,0
MMA Gaming USD,0.007162,0,0,0,0
Kishka USD,0.00000001,0,0,19,0
Busy DAO USD,0.001118,0,0,"6,798",0
PepePad USD,0.000082,0,0,2,0
SonarWatch USD,0.004862,0.000042,0,"63,684",0
Drachma USD,0,0,0,8,0
KogeCoin.io USD,0.002047,0.000055,0,45,0
CoinZoom USD,0.010862,0.000311,0,N/A,0
UwU Lend USD,18.38,-0.07,0,"2,916",0
Doge Blue USD,0.00000001,0,0,174,0
Kortana USD,0.008415,0.000102,0,"11,034",0
Winerz USD,0.000815,0.000002,0,"8,117",0
YAY Games USD,0.000712,0.000011,0,"58,867",0
bizCoin USD,0.00000004,0,0,128,0
GrapeVine USD,0.426274,0,0,2,0
SubDAO USD,0.002969,0.000268,0,"28,962",0
Raichu Inu USD,0,0,0,1,0
BaySwap USD,0.001306,0,0,0,0
Shibosu USD,0,0,0,19,0
POPO USD,0,0,0,"1,527",0
Microverse USD,0.00001,0,0,N/A,0
Niobio USD,0.019846,0.000182,0,4,0
zkSwap USD,0.008422,0.000135,0,"3,275",0
Boop USD,0.074956,0.004875,0,"2,730",0
SalmonSwap USD,0.835668,-0.024945,0,"3,860",0
Auroracoin USD,0.012213,-0.000077,0,7,0
AGAME USD,0.035626,-0.000409,0,"81,057",0
SpartaCats USD,0.00000009,0,0,116,0
AOL Coin USD,0,0,0,35,0
Komoverse USD,0.040782,0.000127,0,"10,671",0
The Recharge USD,0.097396,-0.004717,0,"21,959",0
BnBdognetwork USD,0.014205,0.002573,0,"37,439",0
WAIFU USD,0.000022,0,0,38,0
SolAPE Token USD,0.002,0,0,185,0
Lovely Swap USD,0.146694,0.000775,0,"31,579",0
NUTGAIN USD,0.00018,0,0,2,0
Decentralized Intelligence Agency USD,0.062112,-0.023675,0,"1,973",0
Survival Game Online USD,0.000127,0,0,"35,497",0
Espento USD,0.225477,0.002672,0,"3,078",0
PeerMe USD,0.027882,-0.00225,0,"3,715",0
CryptoBet USD,0.000305,-0.000002,0,N/A,0
SBET USD,0.003229,0.000016,0,N/A,0
United USD,0.000657,0,0,"202,181",0
Streakk Chain USD,10.03,-0.01,0,"57,984",0
Wrapped VeChain USD,0.024075,0,0,"34,955",0
BABY GRUMPY CAT USD,0,0,0,0,0
REX USD,0.000035,0,0,365,0
Metaderby Hoof USD,0.000147,-0.000001,0,2,0
THIS USD,0.000161,0,0,19,0
Yuse Token USD,0.003874,-0.000001,0,20,0
BIBI USD,0,0,0,"29,949",0
Jerry Inu USD,0,0,0,"10,965",0
The Flash USD,0.00000299,-0.00000007,0,12,0
Feeder.finance USD,0.000267,-0.000003,0,33,0
BunnyPark USD,0.002713,0.000004,0,"6,805",0
ClubCoin USD,0.003969,-0.000025,0,2,0
LUCKY CATS USD,0.000122,-0.000015,0,291,0
Nody USD,0.00000095,0.00000064,0,0,0
Esports Token USD,0.041044,0,0,"121,042",0
ARTi Project USD,0.009959,-0.001448,0,"1,424",0
Nifty League USD,0.001263,0.000027,0,"2,191",0
Pest Free Token USD,0.000014,0,0,38,0
NEXTYPE USD,0.000727,-0.00001,0,"98,301",0
ASH USD,0.611718,-0.009626,0,"1,428",0
myDid USD,0.000434,0.000005,0,"310,666",0
Reach DAO USD,0.000073,0.000003,0,7,0
BABYOKX USD,0,0,0,61,0
ZIZY USD,0.363979,-0.084355,0,"146,724",0
Shina Inu USD,0.00000108,0.00000001,0,"86,120",0
Pig Finance USD,0.00000001,0,0,"74,593",0
Ramifi Protocol USD,0.026514,-0.000654,0,1.721M,0
Ratscoin USD,0,0,0,218,0
pBTC35A USD,1.6432,0.0058,0,"10,110",0
Graviton USD,0.002726,0.000061,0,"1,974",0
ABC PoS Pool USD,2.2735,-0.0531,0,"14,823",0
Buxcoin USD,0.000388,-0.000004,0,"1,273",0
DeltaFi USD,0.00126,-0.00006,0,"5,361",0
MILO Project USD,0.144874,-0.000844,0,"299,884",0
Phat Doge Givings USD,0.0000004,0,0,N/A,0
LABS Protocol USD,0.000126,0.000101,0,1,0
Loki Variants Fan USD,0.000817,0,0,N/A,0
Divergence USD,0.008362,0.000009,0,"208,407",0
TridentDAO USD,0.13562,0.001074,0,"199,428",0
Virtual Tourist USD,0.009669,-0.000132,0,"151,433",0
Metria USD,12.66,6.64,0,427,0
Parallel Finance USD,0.006582,-0.000041,0,"5,611",0
Paycoin USD,0.04846,0.000704,0,"137,331",0
Infinite Launch USD,0.00087,-0.000048,0,"6,988",0
NFTmall USD,0.003787,-0.000011,0,3,0
CRYPTOKKI USD,0.013184,-0.000017,0,"32,790",0
Thunder Brawl USD,0.000401,-0.000045,0,"3,978",0
Turbo USD,0.000137,-0.000015,0,2.218M,0
Odesis USD,0.000136,0.000058,0,"4,315",0
Waifu USD,0.001383,0.000471,0,"1,890",0
Barter USD,0.001222,0,0,1,0
Gas DAO USD,0.00000073,-0.00000009,0,"39,536",0
xUSD Token USD,1.2651,0,0,369,0
Moonpot USD,0.00262,-0.000002,0,50,0
HUNDRED USD,0.00000633,0.00000088,0,"5,809",0
CoreStarter USD,0.002888,-0.000034,0,"9,952",0
DDAO Hunters USD,0.038867,-0.000395,0,1,0
Cryptosroom USD,0.00005,0,0,0,0
CrownSterling USD,0.005609,-0.000019,0,683,0
pepeX USD,0,0,0,"2,295",0
MongBNB USD,0,0,0,936,0
Mei Flex USD,0.149994,-0.000025,0,"16,871",0
MetaBET USD,0.007424,0.000381,0,"4,116",0
KeK AI Token USD,0,0,0,0,0
Quantum USD,0.000001,0,0,0,0
Monsta XRP USD,0.006012,0.000076,0,"1,061",0
Daily USD,0.001221,-0.000008,0,0,0
Lootex USD,0.0628,-0.004101,0,"127,753",0
NEMO USD,0.099196,-0.000275,0,29,0
Cosmic Odyssey USD,0.001659,-0.000013,0,"1,179",0
Lucky Block (V2) USD,0.000105,-0.000002,0,"7,004",0
Apu USD,0.000019,-0.000001,0,594,0
Yolllo USD,0.083253,-0.005197,0,96,0
Aleph Zero USD,0.924786,0.029533,0,1.716M,0
MMA Gaming USD,0.007162,0,0,0,0
Melecoin USD,0.005,-0.001281,0,"3,072",0
Choice Coin USD,0.000023,-0.000001,0,4,0
Celo Brazilian Real USD,0.205993,0.001034,0,"4,036",0
Pi Protocol USD,0.275663,0.013358,0,6,0
Kyouneko USD,0.00000079,0.00000004,0,0,0
Tomcat Inu USD,0,0,0,428,0
Coral Swap USD,0.021099,-0.00126,0,"12,921",0
Bitcurate USD,0.003681,-0.000006,0,8,0
Terra World Token USD,0.031804,0.000324,0,"42,535",0
Camp USD,0.000004,0,0,195,0
Trinity USD,0.00000876,-0.00000013,0,156,0
LOFI USD,0.001727,-0.000194,0,"141,995",0
Victory Gem USD,0.000359,0.000009,0,"4,523",0
Wasder USD,0.011896,0.000155,0,"354,974",0
Fantom Doge USD,0,0,0,0,0
SwinCoin USD,0.00000137,0,0,10,0
Dog Boss USD,0.619576,-0.000105,0,2,0
Balkari USD,0.061723,-0.00001,0,0,0
MonoMoney USD,0.000633,-0.000016,0,83,0
Kassandra USD,0.062842,-0.004384,0,"3,261",0
LIFEBIRD USD,0,0,0,47,0
PolygonFarm Finance USD,0.013061,0.000253,0,29,0
EXATECH PoAI Blockchain USD,0.000049,-0.000001,0,57,0
Bolt Coin USD,0.00000004,0,0,65,0
Hurrian Network USD,0.000012,0,0,"83,248",0
XSwap Protocol USD,0.000315,0.000001,0,"1,342",0
ANTIS INU USD,0.000016,0,0,"21,608",0
Idle Ninja Online USD,0.00014,0,0,348,0
PulseX USD,0.000036,-0.000001,0,3.779M,0
JUSTANEGG USD,0.00000007,0,0,70,0
BlackPool USD,0.218076,-0.008387,0,"1,301",0
SuiPad USD,0.052683,-0.001366,0,"115,796",0
KRAKENPAD USD,0.006238,0,0,17,0
YO EXCHANGE USD,0.030531,-0.000005,0,3,0
Flag Media USD,1.18,0.0481,0,"3,783",0
Dosa USD,0.00004,-0.000001,0,37,0
Altbase USD,0.000065,0.000001,0,"5,867",0
BitcoinBR USD,0,0,0,44,0
GFORCE USD,0.444624,-0.001538,0,"1,327",0
ZK Cross Chain Bridge USD,0.00000122,-0.00000002,0,6,0
Algomint USD,"1,866.99",-2.79,0,"4,998",0
ASTRA Protocol USD,0.020642,-0.000447,0,1.585M,0
boomer bucks USD,0.000362,-0.000003,0,274,0
Bearium USD,0.003074,-0.000002,0,26,0
pETH USD,"2,023.09",-5.61,0,249,0
Pulse Predictions Market USD,0.015562,0,0,112,0
Dubai USD,0,0,0,28,0
Pollux Coin USD,1.6738,0.0228,0,"490,987",0
TRONCLASSIC USD,0.000019,0,0,18,0
Ethos Reserve Note USD,1.0348,-0.0053,0,"114,596",0
Supernova USD,0.011459,-0.00001,0,18,0
Nexum USD,0.00985,-0.000692,0,"35,828",0
Phaeton USD,0.016899,-0.000003,0,11,0
Alpha Impact USD,0.002318,-0.000016,0,12,0
WOLVERINU (new) USD,0,0,0,354,0
Crypto International USD,0.346601,-0.000935,0,"61,940",0
Battle Infinity USD,0.000518,0.000004,0,"67,065",0
Malinka USD,0.000552,0.000001,0,"138,404",0
SouloCoin USD,0.000111,0,0,21,0
Rake Finance USD,14.36,-0.16,0,"103,146",0
Moonwell USD,0.003824,0.000413,0,"221,712",0
WAKAWAKA USD,0,0,0,0,0
WEWE USD,0.00000046,-0.00000006,0,"693,708",0
Virtual Reality Game World USD,0.000316,0,0,145,0
Spank USD,0.000682,-0.000129,0,"1,228",0
Calvaria: Duels of Eternity USD,0.001594,0.000001,0,"6,845",0
MetaQ USD,0.103696,-0.002418,0,"192,401",0
Immutable USD,0.006404,0.00021,0,"9,387",0
Sommelier USD,0.136093,0.002022,0,"523,640",0
Neutrinos USD,0.000281,-0.000003,0,1,0
Flona USD,0,0,0,3,0
CircleSwap USD,0.046982,-0.000288,0,"9,120",0
handleFOREX USD,0.005487,-0.000416,0,"8,957",0
BlockXpress USD,0.000843,0,0,16,0
Incorgnito USD,0,0,0,"16,142",0
dHealth USD,0.003989,-0.000029,0,"95,702",0
Ocavu Network Token USD,0.000552,-0.000002,0,179,0
ParadiseFi USD,0.00000055,-0.00000001,0,0,0
SoulSwap Finance USD,0.002424,0.000004,0,"2,652",0
CRIPCO USD,0.540329,-0.000514,0,"4,899",0
TwitFi USD,0.000063,-0.000001,0,"17,418",0
Business Universe USD,0.000194,-0.000002,0,24,0
Bitcoin TRC20 USD,"30,559.62",-273.54,0,"205,018",0
EarnX V2 USD,0.000913,0,0,1,0
BenTen Inu USD,0,0,0,9,0
Attack Wagon USD,0.000707,-0.000022,0,"16,318",0
Seek Tiger USD,0.000299,0.00001,0,"22,597",0
LinkPool USD,0.151331,0.002597,0,61,0
MxmBoxcEus Token USD,0.013607,0.002491,0,"1,921",0
Crypto Royale USD,0.002472,-0.000017,0,469,0
Compound Meta USD,0.006262,-0.000023,0,4,0
Kenshi V3 USD,0.002684,0.000013,0,"2,950",0
Fasttoken USD,0.906556,0.004381,0,2.069M,0
VidyX USD,0.000439,-0.000068,0,"6,816",0
Electric Vehicle Direct Currency USD,0.000014,0,0,367,0
UNIVERSE ISLAND USD,0.00000208,0,0,1,0
SCI Coin USD,0.00004,-0.000041,0,2,0
Majo USD,0.013253,-0.000772,0,"119,149",0
EdenLoop USD,0.05566,-0.000009,0,42,0
LYO Credit USD,0.604581,-0.000464,0,2.032M,0
NFT Pussies USD,0.004131,-0.000074,0,384,0
Panda DAO USD,0.004402,-0.000014,0,"32,074",0
Outrace USD,0.000041,0,0,7,0
Palmswap USD,0.018392,-0.000266,0,"287,628",0
Promethios USD,0.006033,0,0,531,0
SmartCredit Token USD,0.571953,0.000915,0,28,0
NitroEX USD,0.000058,0.000004,0,"4,729",0
OEC ETH USD,"1,878.40",-9.45,0,"29,949",0
CHICA USD,3.1391,-0.0517,0,"71,462",0
Bob LION Inu USD,0,0,0,"7,167",0
Green Monster Dildo USD,0,0,0,62,0
3d3d USD,0,0,0,"1,279",0
BurnSwap Token USD,0.00000014,0,0,1,0
Edufex USD,0.000158,-0.000004,0,"19,633",0
Metafury USD,0.004154,-0.002903,0,458,0
Canon Crypto USD,0.000896,0,0,0,0
KabosuCEO USD,0.000017,0,0,13,0
Nirvana prANA USD,0.00482,0,0,0,0
Pre Pepe Days USD,0,0,0,6,0
SOMDEJ USD,0.134816,-0.001428,0,4,0
TrusterCoin USD,0.000014,0,0,33,0
Solanax USD,0.001254,0.000001,0,"3,644",0
Ditto Staked Aptos USD,7.2615,0.0148,0,"22,546",0
Frax Staked Ether USD,"1,971.78",-4.92,0,1.954M,0
BULL BTC CLUB USD,0.003791,0.000011,0,1.242M,0
CROWD USD,0.000075,0,0,"5,622",0
Omnisea USD,0.550614,0.250012,0,22,0
AlgoPad USD,0.006211,0,0,20,0
Burn USD,0.000016,0,0,"157,273",0
Danketsu USD,0.000411,-0.000008,0,57,0
Poken USD,0.00115,0.000001,0,"157,167",0
DaoVerse USD,0.000056,0,0,"139,595",0
BossBaby USD,0,0,0,76,0
UpBots Token USD,0.002131,0.000014,0,59,0
FNK wallet USD,0.031989,-0.000005,0,5,0
Neutroswap USD,0.012294,-0.00052,0,168,0
Hypersign identity USD,0.01028,0.000008,0,"6,959",0
MSQUARE GLOBAL USD,1.8338,0.1584,0,"617,567",0
Shrek ERC USD,0.00000003,0.00000001,0,"13,497",0
TruBadger USD,0,0,0,358,0
OpenXSwap Gov. Token USD,0.16991,-0.002001,0,2,0
BabyHkTiger USD,0,0,0,192,0
Mau-B USD,0.00000082,-0.00000001,0,14,0
Network Capital Token USD,0.008828,-0.005353,0,496,0
DegensTogether USD,0.0000026,-0.00000006,0,"2,387",0
Hammer Finance USD,1.3943,-0.0108,0,494,0
ON GOD USD,0.000069,0,0,55,0
Mars Token USD,0.003518,-0.000088,0,"53,232",0
Chainmix USD,0.000122,0,0,36,0
Goerli ETH USD,0.126416,0.00145,0,"21,678",0
Diamond Hands USD,0,0,0,47,0
Ki USD,0.034026,-0.000095,0,961,0
RIZZO USD,0,0,0,138,0
TRONPAD USD,0.001923,0.000007,0,23,0
Hibiki Finance USD,0.019069,0.000887,0,"6,833",0
NSKSwap USD,1.9191,0.005,0,12,0
2SHARE USD,2.3315,0.2357,0,29,0
Rabbit2023 USD,0.00001,0,0,0,0
Pepebaby USD,0,0,0,35,0
SnowCrash Token USD,0.002834,0.000051,0,577,0
Wrapped Dogecoin USD,0.065329,-0.000236,0,"164,723",0
PsyOptions USD,0.003435,-0.000045,0,"57,210",0
Minions INU USD,0,0,0,0,0
Pepa Inu USD,0,0,0,"86,604",0
La Peseta USD,0.005,-0.000433,0,1,0
3xcalibur USD,0.033669,-0.001004,0,"1,230",0
Wrapped Syscoin USD,0.108307,0,0,27,0
Tangent USD,0.001973,-0.000207,0,"3,418",0
FrysCrypto USD,0.00212,-0.000115,0,108,0
Xank USD,0.00058,0,0,20,0
Catena X USD,0.00000011,0,0,0,0
Metacourt USD,0.00029,0,0,48,0
Paladeum USD,1.879,0.0229,0,"87,628",0
Pepe Coin USD,0,0,0,93,0
DogeGF USD,0,0,0,"8,928",0
OpenX Locked Velo USD,0.053421,-0.007202,0,573,0
SafeMars USD,0,0,0,"43,905",0
ChoccySwap USD,0.010451,0.00059,0,"1,411",0
FiboDex USD,0,0,0,0,0
ApeJet USD,0.298688,0,0,94,0
FLIGHTCLUPCOIN USD,0.00000274,-0.00000014,0,"35,613",0
ArenaPlay USD,0.00334,-0.000008,0,164,0
OptionPanda USD,0.00021,0,0,"6,967",0
XcelDefi USD,0.004462,-0.000062,0,"7,410",0
Lina Network USD,0.000388,-0.000012,0,0,0
Bitcoin USD,"30,517.06",-179.51,592.894B,13.984B,592.894B
Ethereum USD,"1,879.76",-5.39,225.959B,5.791B,225.959B
Tether USD,0.999967,-0.000429,83.375B,19.721B,83.375B
BNB USD,246.01,-1.21,38.34B,453.132M,38.34B
USD Coin USD,0.999913,-0.000088,27.217B,2.849B,27.217B
XRP USD,0.473203,0.000029,24.864B,709.893M,24.864B
Lido Staked ETH USD,"1,874.23",-7.58,14.384B,21.824M,14.384B
Cardano USD,0.288953,-0.003547,10.105B,161.291M,10.105B
Dogecoin USD,0.065233,0.000007,9.143B,174.889M,9.143B
Solana USD,22.32,0.01,8.991B,529.474M,8.991B
Wrapped TRON USD,0.077964,0.000017,7.927B,"218,422",7.927B
Litecoin USD,100.11,3.5,7.343B,759.895M,7.343B
Polygon USD,0.7679,0.029487,7.156B,453.897M,7.156B
TRON USD,0.078109,0.000267,7.015B,128.79M,7.015B
Polkadot USD,5.2437,-0.014,6.314B,98.976M,6.314B
Bitcoin Cash USD,284.28,-2.01,5.529B,588.784M,5.529B
Wrapped Bitcoin USD,"30,539.83",168.03,4.823B,98.305M,4.823B
Dai USD,0.999342,0.000447,4.652B,68.682M,4.652B
Avalanche USD,13.19,-0.06,4.562B,110.673M,4.562B
Toncoin USD,1.3281,-0.0147,4.558B,6.7M,4.558B
Shiba Inu USD,0.00000751,-0.00000002,4.428B,74.262M,4.428B
FantasyGold USD,29.58,-0.48,4.131B,26,4.131B
Binance USD USD,1.0001,-0.0002,3.989B,1.92B,3.989B
UNUS SED LEO USD,4.0438,-0.0525,3.76B,1.014M,3.76B
Chainlink USD,6.4256,0.1702,3.458B,154.561M,3.458B
THORChain (ERC20) USD,0.290396,0.000552,0,"1,794",0
AI Floki USD,0.00000001,0,0,11,0
InfinityCash USD,0.002202,0,0,N/A,0
Netswap USD,0.095179,-0.000853,0,"1,171",0
VNDC USD,0.00003,-0.000014,0,14,0
Vox Finance 2.0 USD,3.1725,-0.0209,0,13,0
PlusOneCoin USD,0.011175,-0.00007,0,2,0
Monsters Clan USD,0.011129,-0.000023,0,"16,842",0
PlaceWar USD,0.000274,0.000021,0,"10,272",0
3air USD,0.001771,-0.000064,0,349,0
Power Cash USD,0.00000001,0,0,0,0
JumpToken USD,1.8508,0.0023,0,"15,003",0
Rainbow Token USD,0.024923,0.000144,0,"83,094",0
ETH Shiba USD,0,0,0,4,0
Sunny Aggregator USD,0.000028,0,0,"7,598",0
Truebit USD,0.098399,-0.001284,0,"123,727",0
zkShib USD,0.000109,-0.000017,0,9,0
GOGOcoin USD,0.007786,-0.000009,0,17,0
DEUS Finance USD,30.57,0.65,0,"51,655",0
Perpetual Wallet USD,0.000192,-0.000001,0,19,0
CZbnb USD,6.4513,-0.0144,0,11,0
Stewie Inu USD,0,0,0,10,0
Snowmantastic USD,0,0,0,0,0
Launchpad TG DAO 3.0 USD,0.000258,-0.000001,0,25,0
MonoLend USD,0.00831,-0.000109,0,884,0
Soakmont USD,0.000015,0,0,204,0
Vortex USD,0.00000025,0.00000001,0,105,0
Tethys USD,0.17852,-0.004141,0,"4,104",0
Lido Staked SOL USD,24.9,0.01,0,2.195M,0
Tsunami Exchange USD,0.395939,-0.019291,0,376,0
VeriBlock USD,0.000916,-0.000006,0,45,0
ArbInu USD,0.000559,-0.000059,0,"48,222",0
El Dorado Exchange??rbitrum??USD,0.257364,-0.021244,0,"10,010",0
PIXEL NFT USD,0.00469,-0.000019,0,N/A,0
Charm USD,0.00000461,-0.00000061,0,73,0
Birb USD,0.005102,0.000007,0,665,0
AIPeople USD,0,0,0,0,0
GGDApp USD,0.027186,-0.000158,0,269,0
ETH Fan Token Ecosystem USD,0,0,0,30,0
Curio Governance USD,0.012962,-0.011991,0,12,0
Moonions USD,0.00000007,0,0,11,0
EthScape USD,0.001384,-0.000025,0,63,0
PolyPad USD,0.001959,-0.000024,0,"6,785",0
EMBER LUMEN USD,0.00000074,-0.00000005,0,23,0
Torekko (NEW) USD,0.002754,-0.000511,0,"1,090",0
Yieldara USD,0.000122,0,0,64,0
DAYSTARTER USD,0.00186,-0.00007,0,248,0
Troll Face USD,0,0,0,689,0
Exchange Genesis Ethlas Medium USD,0.00116,0.000039,0,14,0
Meditation3 USD,0.00000045,0,0,0,0
MASYA USD,0,0,0,"3,169",0
Million Pixel USD,0.000014,0,0,2,0
Pledge USD,0.000333,-0.000006,0,"3,663",0
sETH USD,"1,873.52",-5.71,0,"8,738",0
MiniSwap USD,0.007226,0.000053,0,"10,379",0
Gold Retriever USD,0.272584,-0.0032,0,"3,236",0
LunaFi USD,0.000806,0.000011,0,"196,424",0
Dx Spot USD,0.000033,-0.000001,0,40,0
Synaptic AI USD,0.001251,0,0,9,0
Generaitiv USD,0.09031,0.002314,0,"2,866",0
Jot Art USD,0.00011,0,0,"44,091",0
Atlantis Loans Polygon USD,0.049163,0.003248,0,158,0
pFTM USD,0.004286,0.000564,0,10,0
Perry The BNB USD,0,0,0,"2,041",0
THORSwap USD,0.086057,-0.006498,0,"104,424",0
Good Games Guild USD,0.038772,-0.001432,0,"20,732",0
Doren USD,0.077372,-0.000733,0,"4,264",0
Fintoken Coin USD,0.00015,-0.000002,0,216,0
Jolofcoin USD,0.000158,-0.000001,0,0,0
BRUCE pepe USD,0.0000007,0,0,153,0
Coalculus USD,0.002211,-0.000033,0,"1,466",0
MojitoSwap USD,0.06643,-0.002829,0,"56,167",0
AI DogeX USD,0,0,0,"123,288",0
YodeSwap USD,0.008534,0.002403,0,915,0
marumaruNFT USD,0.063073,0.001725,0,"25,651",0
HOKK Finance USD,0.000208,-0.000002,0,389,0
TrollX USD,0.00000015,0,0,124,0
PRESALE USD,0.00000728,0,0,167,0
JFIN Coin USD,0.182383,0.000615,0,"14,505",0
Baby Aptos USD,0.00000017,0,0,3,0
Libfx USD,0.002,0,0,16,0
CoinsPaid USD,0.010124,-0.000042,0,"7,025",0
Wrapped THETA USD,0.591312,-0.116203,0,906,0
Bonfire USD,0,0,0,1,0
Sketch Coin USD,0.000952,-0.000238,0,"5,931",0
BitcoinX USD,0.000186,0.000001,0,"10,209",0
Space Crypto (SPE) USD,0.00000055,-0.00000002,0,3,0
SafeOne Chain USD,0.000093,-0.000001,0,62,0
Peew USD,0.00000099,0,0,5,0
ELmo Inu USD,0,0,0,8,0
Gen Wealth USD,0.00000009,0,0,163,0
ClubFi Network USD,0.00000089,-0.00000005,0,12,0
Memeverse USD,0.001304,-0.0001,0,"72,643",0
GRETA USD,0.00000057,-0.00000001,0,14,0
Solidray (new) USD,0.000054,0.000002,0,398,0
FAVOR USD,0.062958,0.000079,0,790,0
Safuu USD,0.081803,-0.000494,0,"1,622",0
Black Dragon Society USD,0.0000001,0,0,238,0
DexBrowser USD,0.001546,0,0,18,0
Vitteey USD,0.0000001,0,0,408,0
BlockXpress USD,0.000843,0,0,16,0
dHealth USD,0.003989,-0.000029,0,"95,702",0
Ocavu Network Token USD,0.000552,-0.000002,0,179,0
Incorgnito USD,0,0,0,"16,142",0
AshSwap USD,0.021052,-0.000322,0,"8,296",0
ParadiseFi USD,0.00000055,-0.00000001,0,0,0
CRIPCO USD,0.540329,-0.000514,0,"4,899",0
MOOI Network USD,0.154894,-0.000126,0,"62,459",0
Business Universe USD,0.000194,-0.000002,0,24,0
Euler USD,1.9558,-0.0776,0,"445,247",0
Rekt USD,0,0,0,"654,426",0
Stader sFTMX USD,0.310125,0.011107,0,"1,800",0
VARC USD,0.000305,-0.000002,0,"8,459",0
SoulSwap Finance USD,0.002424,0.000004,0,"2,652",0
Larix USD,0.000145,0.000001,0,"15,886",0
ZEXICON USD,1.2856,-0.0018,0,"175,514",0
TwitFi USD,0.000063,-0.000001,0,"17,418",0
EarnX V2 USD,0.000913,0,0,1,0
Effort Economy USD,0.00439,-0.000084,0,"1,004",0
STIMA USD,1.0088,0.0034,0,"98,371",0
BabyBitcoin USD,0,0,0,5,0
Doodieman USD,0.00000012,0,0,0,0
Bitcoin TRC20 USD,"30,559.62",-273.54,0,"205,018",0
DigiSwap USD,0.000147,-0.000002,0,3,0
The Pump USD,0,0,0,128,0
Sperax USD USD,0.99545,0.000526,0,"168,273",0
OC Protocol USD,0.000611,-0.000004,0,2,0
Gro DAO Token USD,0.035432,-0.000164,0,273,0
FLETA USD,0.00068,0,0,1,0
Lion Token USD,0.000022,0,0,"6,966",0
XGLI DAO Protocol USD,0.00053,-0.000019,0,31,0
EVEAI USD,0.01211,-0.000091,0,519,0
WJEWEL USD,0.148264,-0.001299,0,"32,950",0
Orbit Bridge Klaytn USDC USD,1.0054,0.0044,0,"11,909",0
NutsDAO USD,0.181683,0,0,"3,268",0
Dual Finance USD,0.024491,0,0,9,0
BabyApeFunClub USD,0,0,0,"224,802",0
Token USD,0.00000025,0,0,20,0
Fenomy USD,0.000847,-0.00002,0,467,0
chikn feed USD,0.000231,-0.000007,0,846,0
Yearn Classic Finance USD,0.489981,-0.000083,0,23,0
Minto USD,0.690426,-0.002383,0,"59,865",0
Genesis Universe USD,0.080456,-0.000729,0,"6,891",0
TOR USD,0.285572,-0.091031,0,"90,460",0
Nut coin USD,0.000053,0,0,N/A,0
Pirate X Pirate USD,0.000077,0,0,4,0
